firm_id,year,province,asset,type,area,staff,industry,age,profit,revenue,wage
600036.SH,2010,44,2.40E+12,0,1,40391,20,23,66192397.43,71377000000,1222.1
600030.SH,2010,44,1.53E+11,1,1,10487,21,15,4643257.55,27794902051,974.38
600026.SH,2010,31,40710176244,1,1,4038,4,14,4951666.56,11409419742,207.1
600022.SH,2010,37,32793207043,1,1,18356,46,10,14206699.74,30740661909,75
600020.SH,2010,41,28352897452,1,4,2005,5,10,16515093.29,2369289445,63.93
600019.SH,2010,31,2.16E+11,1,1,42318,46,10,42703128.74,2.02E+11,5.67E+02
600018.SH,2010,31,65894668683,1,1,23489,5,22,67294463.47,19105452615,155.92
600017.SH,2010,37,8657153558,1,1,3942,5,8,84005225.08,3156279435,105.27
600016.SH,2010,11,1.82E+12,0,1,27661,20,14,112620938,54768000000,1895.16
300189.SZ,2010,46,448425736.6,0,4,422,56,10,289013271.2,395032047,36
300173.SZ,2010,44,393451604.6,1,1,482,11,13,93773543.57,251175698.9,64.92
300172.SZ,2010,32,330333895.1,0,1,189,10,9,111010561.7,281371616.8,54.92
300171.SZ,2010,31,834653278.4,0,1,633,11,17,209243227.1,480617136.6,98.68
300169.SZ,2010,32,555586771.8,0,1,620,48,12,185441265.6,351033201.4,102.6
300165.SZ,2010,32,379349313.1,0,1,852,38,4,147238996.5,277439807.5,129.9
300151.SZ,2010,44,816120956.5,0,1,997,11,9,41439534.82,286177568.2,62.4
300150.SZ,2010,11,1472847117,0,1,183,41,11,92923314.35,234010790,78.84
300148.SZ,2010,43,534139745.2,0,4,228,39,7,83659988.68,213835990,51.7
300145.SZ,2010,33,1110929780,1,1,830,11,19,112820003.2,635653688.9,56.43
300144.SZ,2010,33,2974434456,0,1,393,32,16,108728645.3,444756662,165.59
300140.SZ,2010,61,884812652.7,1,4,564,10,9,76271687.38,302503771.4,163.8
300126.SZ,2010,31,1006822362,0,1,1507,11,10,166291700,417811741.5,18
300124.SZ,2010,44,2462611960,0,1,776,7,7,98784600,674603994.3,140.99
300121.SZ,2010,37,498256787.6,0,1,590,48,10,109589831.3,348361445.8,43.54
